,neighborhood,tree_count,stormwater_benefits_dollar_value,property_value_benefits_dollarvalue,energy_benefits_electricity_dollar_value,energy_benefits_gas_dollar_value,air_quality_benfits_total_dollar_value,co2_benefits_dollar_value,overall_benefits_dollar_value,Neighborhood_2010_AREA,Neighborhood_2010_ACRES
0,Allegheny Center,6.40668730466285,112.68131995791695,430.3031558366512,105.36857664846217,359.9362221404883,79.60478095817614,10.172133758761108,1098.0661893005627,5840713.0,134.703
1,Allegheny West,4.227166147444436,59.060753583948646,252.741942651416,55.28410466093309,190.0938033554615,41.437534484747296,5.328917447653467,603.9470561842169,3938870.2,90.841
2,Allentown,0.4113750474663516,2.7779300989610936,17.500310524827146,3.3142724284169685,12.14734715862046,2.2597807266501775,0.2808782260702854,38.11588661167936,8221419.5,189.608
3,Arlington,0.31423657052130194,1.2928285957248238,8.932931695912476,1.6711115505363312,6.510846796084492,1.0004954183698131,0.1264703084555959,19.497032478505492,13108599.0,302.32
4,Arlington Heights,0.04728579534707774,0.9359755914566389,3.9044969318682616,1.0934009867457917,3.8279163853591363,0.5163323841765178,0.05247910572411103,10.330601385331946,3667921.5,84.592
5,Banksville,0.6967197982402207,8.243139717274468,34.83956351708382,8.35465965395913,29.335521576314363,5.9146939686383675,0.7750412272358334,87.26197098791587,27009770.0,622.919
6,Bedford Dwellings,1.7179745253878458,7.526079491340957,51.892754036468006,8.006173292787519,30.705470505879735,5.741610980065378,0.6732392908433656,104.54532759735207,4997335.5,115.252
7,Beechview,0.6231332631731438,5.5849683702367905,26.677470639245573,5.662712303989992,20.572198780389023,4.076781041146543,0.5058953439343049,63.08002647894028,40706528.0,938.804
8,Beltzhoover,0.5954714580543987,3.3288931499699745,19.58492985252293,4.297944692276717,16.097135401585646,2.7384285943140894,0.34151114070497124,46.00470848189886,11723429.0,270.374
9,Bloomfield,3.0504757368660074,16.687390752216643,128.60923252259295,19.111505449841754,72.26790987949754,13.289875157465222,1.759100179858659,251.38286553784258,19572930.0,451.405
10,Bluff,1.0260795211628901,3.347223914559456,45.357900777365685,4.764821190085222,19.171176134268443,2.825983121282158,0.3792980051281849,75.84640314270139,9127700.0,210.51
11,Bon Air,0.41184935245372895,3.6417275411457086,17.677130596153205,3.9278897244673345,13.997393320758919,2.8493357980210017,0.40914681298284283,42.54819269473869,8738354.0,201.53
12,Brighton Heights,1.2029036758174594,10.791645327120325,56.159120127206606,12.018414826423564,43.648111869415295,7.916762796050101,1.004607522713816,131.37953433756965,31143860.0,718.262
13,Brookline,0.6013435733553253,6.02741080686533,30.296658245466904,6.316065375630783,22.69854295915409,4.442028603976525,0.5822637721022978,70.17826206112427,58044672.0,1338.669
14,California-Kirkbride,0.6592524650309562,4.213491426092897,28.34341992256478,5.62589452119906,20.822654915607117,3.2443982643524554,0.40014566256990514,62.65000471236235,6050988.0,139.552
15,Carrick,0.6758578374408508,5.591840154850219,28.24055020065068,6.157548675974901,21.95838154705687,3.990340103504903,0.535159444887926,66.36378589908357,46641072.0,1075.67
16,Central Business District,2.388281627724475,8.724374277947947,130.96142609705748,12.393882382706968,51.274265649002764,8.019824705072518,1.0717854036773884,211.5464247185713,17846686.0,411.593
17,Central Lawrenceville,1.1256478127387157,3.2042934139328323,38.57736913430654,4.33402153245098,17.900428425020575,2.816531194524491,0.37387478502392063,67.20651848525976,26848464.0,619.199
18,Central Northside,3.898483255744106,18.104550612834924,171.43385273030853,24.024075798750594,92.12187779953958,15.365560095342474,2.0418925054337924,323.0918095422731,7218352.0,166.475
19,Central Oakland,2.028935831449058,20.714067930194417,108.32469610703296,23.42731968989726,83.62296680018731,15.291982997954463,1.9221608749014962,252.91749212718395,7843108.0,180.883
20,Chartiers City,0.3178190550180098,6.324360696531653,19.77376029541523,5.904650539488335,18.678565289872168,4.193230110384846,0.643977220209773,55.51854415194577,3683600.5,84.954
21,Chateau,0.9979675538841627,4.500818614894982,63.20714829835444,6.536828384981213,26.05259890112445,3.942238621276264,0.549280964733296,104.78891378531522,10688264.0,246.501
22,Crafton Heights,0.7305370685652376,6.5417279270397275,33.4669441966779,7.302847883023311,25.851022073629437,4.586879227231475,0.6399247609746425,78.27844416515458,21011160.0,484.575
23,Crawford-Roberts,3.377463109794643,15.59894982892,147.99016500464825,16.5890880894767,62.699738451865684,12.80134158871709,1.82391273826967,257.50319570171933,7202139.0,166.101
24,Duquesne Heights,0.23722244973381143,1.3379957964146523,8.786387172395909,1.4922301615117477,5.535352155249043,1.0364313194429662,0.13699087554688233,18.247439557371624,17364276.0,400.468
25,East Allegheny,2.3466596354767475,12.594165240791169,115.84373084112738,15.211840046437365,58.7765299809703,11.238296144330397,1.5592207387445898,215.09864075716683,6577919.5,151.705
26,East Carnegie,0.028787851526655753,0.1648467974630706,1.0126601215563433,0.19785482665352022,0.714532290810414,0.12241643763712196,0.013937180587599633,2.2262476547055545,12049543.0,277.895
27,East Hills,1.3416571620647155,14.46534510814066,71.27319621404865,16.329710949606525,58.54529178771146,10.12287613447019,1.2500254843073746,171.9864456782979,15092615.0,348.077
28,East Liberty,3.5300414826709487,16.97824538213748,142.87707638274208,20.446472648650676,78.9896974048801,13.54202092601367,1.6758054840611196,274.50931822853073,16201454.0,373.65
29,Elliott,0.3821786749429297,3.966248841369412,17.80296412267427,4.41419163874865,15.910090899784189,3.066833822796166,0.38803011539433896,45.47303531442811,16904768.0,389.87
30,Esplen,0.020293717741444506,0.10026923279890955,0.6805201477402945,0.12157372519167416,0.4624549579060942,0.06857415512323022,0.007348711512996773,1.4407409302748446,6409852.5,147.829
